name,number,year
Milo,1490,2016
Michael,14004,2016
Milo,1262,2015
Michael,14406,2015
Michael,15431,2014
Milo,1088,2014
Michael,15468,2013
Milo,1074,2013
Milo,939,2012
Michael,16143,2012
Milo,794,2011
Michael,16775,2011
Michael,17336,2010
Milo,613,2010
Michael,18932,2009
Milo,571,2009
Milo,595,2008
Michael,20619,2008
Michael,21986,2007
Milo,429,2007
Michael,22658,2006
Milo,287,2006
Michael,23816,2005
Milo,233,2005
Milo,178,2004
Michael,25561,2004
Michael,27160,2003
Milo,168,2003
Michael,28290,2002
Milo,175,2002
Michael,29711,2001
Milo,93,2001
Milo,78,2000
Michael,32089,2000
Milo,32,1999
Michael,33983,1999
Milo,39,1998
Michael,36692,1998
Michael,37628,1997
Milo,47,1997
Milo,23,1996
Michael,38454,1996
Michael,41505,1995
Milo,14,1995
Milo,22,1994
Michael,44590,1994
Michael,49705,1993
Michael,54591,1992
Milo,17,1992
Milo,29,1991
Michael,60978,1991
Milo,43,1990
Michael,65494,1990
Michael,65689,1989
Milo,23,1989
Milo,7,1988
Michael,64557,1988
Milo,13,1987
Michael,64141,1987
Milo,13,1986
Michael,64755,1986
Milo,11,1985
Michael,65391,1985
Milo,17,1984
Michael,68192,1984
Milo,18,1983
Michael,68537,1983
Milo,22,1982
Michael,68756,1982
Michael,69216,1981
Milo,15,1981
Michael,69180,1980
Milo,16,1980
Michael,68262,1979
Milo,18,1979
Milo,15,1978
Michael,67670,1978
Milo,12,1977
Michael,68132,1977
Milo,16,1976
Michael,67450,1976
Michael,68974,1975
Milo,9,1975
Milo,6,1974
Michael,68076,1974
Michael,68265,1973
Milo,22,1973
Milo,11,1972
Michael,71826,1972
Michael,78027,1971
Milo,31,1971
Michael,85728,1970
Milo,23,1970
Milo,16,1969
Michael,85640,1969
Michael,82452,1968
Milo,12,1968
Michael,82764,1967
Milo,7,1967
Michael,80283,1966
Milo,12,1966
Michael,81340,1965
Milo,7,1965
Michael,82912,1964
Milo,16,1964
Michael,84118,1963
Milo,19,1963
Michael,85350,1962
Milo,20,1962
Michael,87188,1961
Milo,18,1961
Milo,7,1960
Michael,84482,1960
Michael,85500,1959
Milo,39,1959
Milo,29,1958
Michael,90758,1958
Milo,28,1957
Michael,92902,1957
Michael,90803,1956
Milo,27,1956
Michael,88502,1955
Milo,60,1955
Milo,59,1954
Michael,88663,1954
Milo,28,1953
Michael,84346,1953
Milo,43,1952
Michael,79143,1952
Milo,53,1951
Michael,72922,1951
Milo,54,1950
Michael,65275,1950
Michael,60173,1949
Milo,55,1949
Milo,50,1948
Michael,52675,1948
Michael,50603,1947
Milo,28,1947
Milo,30,1946
Michael,41294,1946
Michael,29993,1945
Milo,20,1945
Michael,26839,1944
Milo,38,1944
Milo,59,1943
Michael,24874,1943
Milo,29,1942
Michael,21806,1942
Milo,43,1941
Michael,15972,1941
Michael,13272,1940
Milo,58,1940
Michael,10860,1939
Milo,31,1939
Michael,9104,1938
Milo,40,1938
Milo,75,1937
Michael,7112,1937
Milo,89,1936
Michael,5797,1936
Milo,56,1935
Michael,4898,1935
Michael,4096,1934
Milo,90,1934
Milo,80,1933
Michael,3531,1933
Michael,3596,1932
Milo,71,1932
Michael,3472,1931
Milo,84,1931
Michael,3527,1930
Milo,113,1930
Michael,3446,1929
Milo,97,1929
Milo,123,1928
Michael,3588,1928
Michael,3589,1927
Milo,97,1927
Michael,3472,1926
Milo,90,1926
Michael,3759,1925
Milo,125,1925
Michael,3867,1924
Milo,116,1924
Milo,138,1923
Michael,3901,1923
Milo,162,1922
Michael,3996,1922
Milo,161,1921
Michael,4178,1921
Michael,3982,1920
Milo,180,1920
Milo,150,1919
Michael,3896,1919
Michael,4259,1918
Milo,152,1918
Milo,170,1917
Michael,4258,1917
Michael,4180,1916
Milo,149,1916
Michael,4046,1915
Milo,152,1915
Milo,110,1914
Michael,3314,1914
Milo,68,1913
Michael,2566,1913
Milo,47,1912
Michael,2068,1912
Michael,1114,1911
Milo,6,1910
Michael,795,1910
